Outcome,Outcome_Col,Predictor,Predictor_Col,N,OLS Beta,OLS p,CI_Lower,CI_Upper,BH Q-Value
DV2_Health_Outcomes,dv2_health_outcomes_score,CAPEX_Intensity_Raw,fi_capex_intensity_ratio,1508,-0.10634676861681791,0.15546314865969282,-0.2530812499153713,0.040387712681735494,0.15546314865969282
DV2_Health_Outcomes,dv2_health_outcomes_score,CAPEX_Intensity_Winsor01_99,fi_capex_intensity_ratio_w,1508,-0.37168744904931406,0.006466107459862663,-0.6392055087144376,-0.10416938938419051,0.009699161189793996
DV2_Health_Outcomes,dv2_health_outcomes_score,log1p_CAPEX_Intensity_Winsor,fi_capex_intensity_ratio_log1p,1508,-66.7892889680653,0.005407952376729585,-113.84895698763208,-19.729620948498543,0.009699161189793996
DV21_YPLL,dv21_premature_death_ypll_rate,CAPEX_Intensity_Raw,fi_capex_intensity_ratio,1504,-0.2107287852711861,0.15883838577137943,-0.5038615172691676,0.08240394672679546,0.15883838577137943
DV21_YPLL,dv21_premature_death_ypll_rate,CAPEX_Intensity_Winsor01_99,fi_capex_intensity_ratio_w,1504,-0.7394089575908478,0.0068905765077264475,-1.275740696026047,-0.20307721915564858,0.010335864761589672
DV21_YPLL,dv21_premature_death_ypll_rate,log1p_CAPEX_Intensity_Winsor,fi_capex_intensity_ratio_log1p,1504,-133.10235549073042,0.006295973399223181,-228.5928815794972,-37.61182940196363,0.010335864761589672
MO1_GenAI,mo1_genai_composite_score,CAPEX_Intensity_Raw,fi_capex_intensity_ratio,1508,3.4839792546538905e-05,0.3912500140170013,-4.480624093833415e-05,0.00011448582603141196,0.3912500140170013
MO1_GenAI,mo1_genai_composite_score,CAPEX_Intensity_Winsor01_99,fi_capex_intensity_ratio_w,1508,0.00021437483134820304,0.16565084585331857,-8.87071198675377e-05,0.0005174567825639438,0.24847626877997786
MO1_GenAI,mo1_genai_composite_score,log1p_CAPEX_Intensity_Winsor,fi_capex_intensity_ratio_log1p,1508,0.06741491804663155,0.03447533047575513,0.004925997592858236,0.12990383850040488,0.10342599142726538
MO2_Robotics,mo2_robotics_composite_score,CAPEX_Intensity_Raw,fi_capex_intensity_ratio,1508,0.0004533440871729562,0.07418320051122455,-4.430202851635266e-05,0.000950990202862265,0.07418320051122455
MO2_Robotics,mo2_robotics_composite_score,CAPEX_Intensity_Winsor01_99,fi_capex_intensity_ratio_w,1508,0.002072683696329253,0.0002588859431540512,0.0009607084082753118,0.0031846589843831942,0.0003883289147310768
MO2_Robotics,mo2_robotics_composite_score,log1p_CAPEX_Intensity_Winsor,fi_capex_intensity_ratio_log1p,1508,0.43628141461611125,1.3087397509439794e-08,0.2858666554245481,0.5866961738076744,3.926219252831938e-08
