Covariate,Mean (T=1),Mean (T=0),Diff,SMD (Unweighted),SMD (IPTW)
medicaid_expansion_active,0.645,0.497,0.148,0.302,-0.035
physical_environment_score,2.313,2.163,0.151,0.325,-0.031
health_behaviors_score,36.640,32.906,3.734,0.184,-0.067
social_economic_factors_score,12.312,14.023,-1.711,-0.490,-0.030
log_population,11.791,9.920,1.870,1.359,0.094
is_rural,0.146,0.556,-0.411,-0.953,-0.126
division_2,0.111,0.034,0.077,0.302,0.030
division_3,0.153,0.195,-0.042,-0.112,0.033
division_4,0.194,0.127,0.067,0.185,-0.021
division_5,0.049,0.131,-0.082,-0.291,-0.090
division_6,0.135,0.210,-0.075,-0.200,-0.027
division_7,0.140,0.152,-0.011,-0.032,0.061
division_8,0.090,0.089,0.001,0.003,0.008
division_9,0.078,0.048,0.030,0.124,-0.007
division_Unknown,0.010,0.001,0.010,0.129,0.058
hospital_beds_per_capita,3.111,2.627,0.484,0.123,0.138
